album_type,total_tracks,is_playable,external_urls,href,id,images,name,release_date,release_date_precision,type,uri,artists,market,search_type,time_range,extraction_time
album,12,True,{'spotify': 'https://open.spotify.com/album/4a6NzYL1YHRUgx9e3YZI6I'},https://api.spotify.com/v1/albums/4a6NzYL1YHRUgx9e3YZI6I,4a6NzYL1YHRUgx9e3YZI6I,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d7812467811a7da6e6a44902', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d7812467811a7da6e6a44902', 'width': 64}]",The Life of a Showgirl,2025-10-03,day,album,spotify:album:4a6NzYL1YHRUgx9e3YZI6I,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,12,True,{'spotify': 'https://open.spotify.com/album/14JkAa6IiFaOh5s0nMyMU9'},https://api.spotify.com/v1/albums/14JkAa6IiFaOh5s0nMyMU9,14JkAa6IiFaOh5s0nMyMU9,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734dcb6c5df15cf74596ab25a4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024dcb6c5df15cf74596ab25a4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514dcb6c5df15cf74596ab25a4', 'width': 64}]",KPop Demon Hunters (Soundtrack from the Netflix Film),2025-06-20,day,album,spotify:album:14JkAa6IiFaOh5s0nMyMU9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7mW7Tv7NvywKKXqafZo0Lc'}, 'href': 'https://api.spotify.com/v1/artists/7mW7Tv7NvywKKXqafZo0Lc', 'id': '7mW7Tv7NvywKKXqafZo0Lc', 'name': 'KPop Demon Hunters Cast', 'type': 'artist', 'uri': 'spotify:artist:7mW7Tv7NvywKKXqafZo0Lc'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2yNNYQBChuox9A5Ka93BIn'}, 'href': 'https://api.spotify.com/v1/artists/2yNNYQBChuox9A5Ka93BIn', 'id': '2yNNYQBChuox9A5Ka93BIn', 'name': 'HUNTR/X', 'type': 'artist', 'uri': 'spotify:artist:2yNNYQBChuox9A5Ka93BIn'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0BJ2EjOqcfgFvlZXNKrNbE'}, 'href': 'https://api.spotify.com/v1/artists/0BJ2EjOqcfgFvlZXNKrNbE', 'id': '0BJ2EjOqcfgFvlZXNKrNbE', 'name': 'Saja Boys', 'type': 'artist', 'uri': 'spotify:artist:0BJ2EjOqcfgFvlZXNKrNbE'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,12,True,{'spotify': 'https://open.spotify.com/album/1W57oNaAkGObOQKBTxg4e9'},https://api.spotify.com/v1/albums/1W57oNaAkGObOQKBTxg4e9,1W57oNaAkGObOQKBTxg4e9,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733d29cbdaf500d735492c693b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e023d29cbdaf500d735492c693b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048513d29cbdaf500d735492c693b', 'width': 64}]",The Life of a Showgirl,2025-10-03,day,album,spotify:album:1W57oNaAkGObOQKBTxg4e9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,12,True,{'spotify': 'https://open.spotify.com/album/1aqg30bNvLSWgShZgX4oop'},https://api.spotify.com/v1/albums/1aqg30bNvLSWgShZgX4oop,1aqg30bNvLSWgShZgX4oop,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b1863bf95557ea7f357c4947', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b1863bf95557ea7f357c4947', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b1863bf95557ea7f357c4947', 'width': 64}]",Man’s Best Friend,2025-08-29,day,album,spotify:album:1aqg30bNvLSWgShZgX4oop,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B'}, 'href': 'https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B', 'id': '74KM79TiuVKeVCqs8QtB0B', 'name': 'Sabrina Carpenter', 'type': 'artist', 'uri': 'spotify:artist:74KM79TiuVKeVCqs8QtB0B'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,46,True,{'spotify': 'https://open.spotify.com/album/1kCHru7uhxBUdzkm4gzRQc'},https://api.spotify.com/v1/albums/1kCHru7uhxBUdzkm4gzRQc,1kCHru7uhxBUdzkm4gzRQc,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d72fb5571087bca0a2fed008', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d72fb5571087bca0a2fed008', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d72fb5571087bca0a2fed008', 'width': 64}]",Hamilton (Original Broadway Cast Recording),2015-09-25,day,album,spotify:album:1kCHru7uhxBUdzkm4gzRQc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4aXXDj9aZnlshx7mzj3W1N'}, 'href': 'https://api.spotify.com/v1/artists/4aXXDj9aZnlshx7mzj3W1N', 'id': '4aXXDj9aZnlshx7mzj3W1N', 'name': 'Lin-Manuel Miranda', 'type': 'artist', 'uri': 'spotify:artist:4aXXDj9aZnlshx7mzj3W1N'}]",BR,album,2015-2025,2025-10-09 22:00:00
single,3,True,{'spotify': 'https://open.spotify.com/album/0Bv6OJO0L5gcf20DMww54a'},https://api.spotify.com/v1/albums/0Bv6OJO0L5gcf20DMww54a,0Bv6OJO0L5gcf20DMww54a,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e3d69e17dde129037a1f09e2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e3d69e17dde129037a1f09e2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e3d69e17dde129037a1f09e2', 'width': 64}]",Man I Need,2025-08-15,day,album,spotify:album:0Bv6OJO0L5gcf20DMww54a,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/00x1fYSGhdqScXBRpSj3DW'}, 'href': 'https://api.spotify.com/v1/artists/00x1fYSGhdqScXBRpSj3DW', 'id': '00x1fYSGhdqScXBRpSj3DW', 'name': 'Olivia Dean', 'type': 'artist', 'uri': 'spotify:artist:00x1fYSGhdqScXBRpSj3DW'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,10,True,{'spotify': 'https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n'},https://api.spotify.com/v1/albums/7aJuG4TFXa2hmE4z1yxc3n,7aJuG4TFXa2hmE4z1yxc3n,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62', 'width': 64}]",HIT ME HARD AND SOFT,2024-05-17,day,album,spotify:album:7aJuG4TFXa2hmE4z1yxc3n,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'}, 'href': 'https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH', 'id': '6qqNVTkY8uBg9cP3Jd7DAH', 'name': 'Billie Eilish', 'type': 'artist', 'uri': 'spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,17,True,{'spotify': 'https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb'},https://api.spotify.com/v1/albums/5K79FLRUCSysQnVESLcTdb,5K79FLRUCSysQnVESLcTdb,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bbd45c8d36e0e045ef640411', 'width': 64}]",DeBÍ TiRAR MáS FOToS,2025-01-05,day,album,spotify:album:5K79FLRUCSysQnVESLcTdb,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X'}, 'href': 'https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X', 'id': '4q3ewBCX7sLwd24euuV69X', 'name': 'Bad Bunny', 'type': 'artist', 'uri': 'spotify:artist:4q3ewBCX7sLwd24euuV69X'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,23,True,{'spotify': 'https://open.spotify.com/album/3RQQmkQEvNCY4prGKE6oc5'},https://api.spotify.com/v1/albums/3RQQmkQEvNCY4prGKE6oc5,3RQQmkQEvNCY4prGKE6oc5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0249d694203245f241a1bcaa72', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72', 'width': 64}]",Un Verano Sin Ti,2022-05-06,day,album,spotify:album:3RQQmkQEvNCY4prGKE6oc5,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X'}, 'href': 'https://api.spotify.com/v1/artists/4q3ewBCX7sLwd24euuV69X', 'id': '4q3ewBCX7sLwd24euuV69X', 'name': 'Bad Bunny', 'type': 'artist', 'uri': 'spotify:artist:4q3ewBCX7sLwd24euuV69X'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,37,True,{'spotify': 'https://open.spotify.com/album/5IZ8sY5FjtL9hloXpv0XbD'},https://api.spotify.com/v1/albums/5IZ8sY5FjtL9hloXpv0XbD,5IZ8sY5FjtL9hloXpv0XbD,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0235ea219ce47813b5e2dc3745', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485135ea219ce47813b5e2dc3745', 'width': 64}]",I’m The Problem,2025-05-16,day,album,spotify:album:5IZ8sY5FjtL9hloXpv0XbD,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM'}, 'href': 'https://api.spotify.com/v1/artists/4oUHIQIBe0LHzYfvXNW4QM', 'id': '4oUHIQIBe0LHzYfvXNW4QM', 'name': 'Morgan Wallen', 'type': 'artist', 'uri': 'spotify:artist:4oUHIQIBe0LHzYfvXNW4QM'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,15,True,{'spotify': 'https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv'},https://api.spotify.com/v1/albums/6DEjYFkNZh67HP7R9PSZvv,6DEjYFkNZh67HP7R9PSZvv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b', 'width': 64}]",reputation,2017-11-10,day,album,spotify:album:6DEjYFkNZh67HP7R9PSZvv,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,44,True,{'spotify': 'https://open.spotify.com/album/2KrREEyHxkdFGYAd1DmMdS'},https://api.spotify.com/v1/albums/2KrREEyHxkdFGYAd1DmMdS,2KrREEyHxkdFGYAd1DmMdS,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a958d093e94944dd0e7258b2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a958d093e94944dd0e7258b2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a958d093e94944dd0e7258b2', 'width': 64}]",SWAG II,2025-09-05,day,album,spotify:album:2KrREEyHxkdFGYAd1DmMdS,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s'}, 'href': 'https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s', 'id': '1uNFoZAHBGtllmzznpCI3s', 'name': 'Justin Bieber', 'type': 'artist', 'uri': 'spotify:artist:1uNFoZAHBGtllmzznpCI3s'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,100,True,{'spotify': 'https://open.spotify.com/album/54vGSK50oe08qxz2xXECEC'},https://api.spotify.com/v1/albums/54vGSK50oe08qxz2xXECEC,54vGSK50oe08qxz2xXECEC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f8e1043df4c08b991aaec9cf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f8e1043df4c08b991aaec9cf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f8e1043df4c08b991aaec9cf', 'width': 64}]",10 Hours of Continuous Rain Sounds for Sleeping,2021-01-22,day,album,spotify:album:54vGSK50oe08qxz2xXECEC,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0QUBaF6Rtta4TTmxYYfzux'}, 'href': 'https://api.spotify.com/v1/artists/0QUBaF6Rtta4TTmxYYfzux', 'id': '0QUBaF6Rtta4TTmxYYfzux', 'name': 'White Noise Radiance', 'type': 'artist', 'uri': 'spotify:artist:0QUBaF6Rtta4TTmxYYfzux'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5nSGBmlgUdqWNExnOX8VtV'}, 'href': 'https://api.spotify.com/v1/artists/5nSGBmlgUdqWNExnOX8VtV', 'id': '5nSGBmlgUdqWNExnOX8VtV', 'name': 'Rain Sounds', 'type': 'artist', 'uri': 'spotify:artist:5nSGBmlgUdqWNExnOX8VtV'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,21,True,{'spotify': 'https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR'},https://api.spotify.com/v1/albums/6Rl6YoCarF2GHPSQmmFjuR,6Rl6YoCarF2GHPSQmmFjuR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cc392813bfd8f63d4d5f4a95', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cc392813bfd8f63d4d5f4a95', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cc392813bfd8f63d4d5f4a95', 'width': 64}]",$ome $exy $ongs 4 U,2025-02-14,day,album,spotify:album:6Rl6YoCarF2GHPSQmmFjuR,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2HPaUgqeutzr3jx5a9WyDV'}, 'href': 'https://api.spotify.com/v1/artists/2HPaUgqeutzr3jx5a9WyDV', 'id': '2HPaUgqeutzr3jx5a9WyDV', 'name': 'PARTYNEXTDOOR', 'type': 'artist', 'uri': 'spotify:artist:2HPaUgqeutzr3jx5a9WyDV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4'}, 'href': 'https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4', 'id': '3TVXtAsR1Inumwj472S9r4', 'name': 'Drake', 'type': 'artist', 'uri': 'spotify:artist:3TVXtAsR1Inumwj472S9r4'}]",BR,album,2015-2025,2025-10-09 22:00:00
album,12,True,{'spotify': 'https://open.spotify.com/album/0l8zYqoUeBYg47Gmevq9HZ'},https://api.spotify.com/v1/albums/0l8zYqoUeBYg47Gmevq9HZ,0l8zYqoUeBYg47Gmevq9HZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739a336bfb6d40bbd90a507417', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029a336bfb6d40bbd90a507417', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519a336bfb6d40bbd90a507417', 'width': 64}]",The Art of Loving,2025-09-26,day,album,spotify:album:0l8zYqoUeBYg47Gmevq9HZ,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/00x1fYSGhdqScXBRpSj3DW'}, 'href': 'https://api.spotify.com/v1/artists/00x1fYSGhdqScXBRpSj3DW', 'id': '00x1fYSGhdqScXBRpSj3DW', 'name': 'Olivia Dean', 'type': 'artist', 'uri': 'spotify:artist:00x1fYSGhdqScXBRpSj3DW'}]",BR,album,2015-2025,2025-10-09 22:00:00
